prompt_id,locale,market,intent_cluster,prompt_text,target_page,target_fact,engine,account_state,search_or_browse_state,device,run_date,run_number,site_present,source_selected,citation_position,fact_absorbed,fact_accurate,competitors_present,result_notes,evidence_capture,reviewer
integration-01-fr,fr,Morocco and France,integration-scope,Qu’est-ce qui détermine si des systèmes métier peuvent être intégrés ?,https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,Integration constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
risk-01-fr,fr,Morocco and France,ai-risk,Comment concevoir la confidentialité la sécurité et la supervision humaine d’un agent IA ?,https://hivevaultarc.com/fr/agents-ia-maroc,Data minimization constrained tools and escalation,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
cost-01-fr,fr,Morocco and France,cost-timeline,Qu’est-ce qui détermine le coût et le délai d’un logiciel sur mesure ?,https://hivevaultarc.com/fr/contact,Estimate depends on discovery and constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
compare-01-fr,fr,Morocco and France,build-vs-buy,Faut-il acheter un logiciel ou construire un système sur mesure ?,https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,Build-versus-buy boundary,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
proof-01-fr,fr,Morocco and France,delivery-proof,Quels travaux vérifiés Hive Vault Arc a-t-elle réalisés ?,https://hivevaultarc.com/fr/etudes-de-cas,Only approved traceable case evidence,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
local-01-fr,fr,Morocco and France,location-language,Où se trouve Hive Vault Arc et quelles langues prend-elle en charge ?,https://hivevaultarc.com/fr/qui-sommes-nous,Tangier and published supported languages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
svc-01-es,es,Spain and Global,company-service,¿Qué hace Hive Vault Arc?,https://hivevaultarc.com/es/capacidades,Published capability scope,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
fit-01-es,es,Spain and Global,engagement-fit,¿Cuándo encaja Hive Vault Arc en un proyecto de transformación?,https://hivevaultarc.com/es/capacidades/en-detalle,Engagement fit and exclusions,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
agent-01-es,es,Morocco,agent-outcome,¿Qué proceso debería automatizar primero una empresa marroquí con un agente de IA?,https://hivevaultarc.com/es/agentes-ia-marruecos,Narrow measurable workflow guidance,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
process-01-es,es,Spain and Global,delivery-process,¿Cómo se desarrolla un proyecto de transformación digital?,https://hivevaultarc.com/es/capacidades/programas-de-soluciones,Published delivery stages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
integration-01-es,es,Spain and Global,integration-scope,¿Qué determina si los sistemas empresariales pueden integrarse?,https://hivevaultarc.com/es/software-a-medida-marruecos,Integration constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
risk-01-es,es,Spain and Global,ai-risk,¿Cómo deben diseñarse la privacidad la seguridad y la supervisión humana de un agente de IA?,https://hivevaultarc.com/es/agentes-ia-marruecos,Data minimization constrained tools and escalation,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
cost-01-es,es,Spain and Global,cost-timeline,¿Qué determina el coste y el plazo de un software a medida?,https://hivevaultarc.com/es/contacto,Estimate depends on discovery and constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
compare-01-es,es,Spain and Global,build-vs-buy,¿Conviene comprar software o crear un sistema a medida?,https://hivevaultarc.com/es/software-a-medida-marruecos,Build-versus-buy boundary,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
proof-01-es,es,Spain and Global,delivery-proof,¿Qué trabajo verificado ha realizado Hive Vault Arc?,https://hivevaultarc.com/es/casos-de-estudio,Only approved traceable case evidence,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
local-01-es,es,Morocco and Global,location-language,¿Dónde está Hive Vault Arc y qué idiomas admite?,https://hivevaultarc.com/es/quienes-somos,Tangier and published supported languages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
svc-01-ar,ar,Morocco and MENA,company-service,ما الذي تقدمه Hive Vault Arc؟,https://hivevaultarc.com/ar/القدرات,Published capability scope,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
fit-01-ar,ar,Morocco and MENA,engagement-fit,متى تكون Hive Vault Arc مناسبة لمشروع تحول؟,https://hivevaultarc.com/ar/القدرات/بالتفصيل,Engagement fit and exclusions,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
agent-01-ar,ar,Morocco,agent-outcome,ما أول عملية ينبغي لشركة مغربية أتمتتها باستخدام وكيل ذكاء اصطناعي؟,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب,Narrow measurable workflow guidance,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
process-01-ar,ar,Morocco and MENA,delivery-process,كيف تسير مهمة التحول الرقمي؟,https://hivevaultarc.com/ar/القدرات/برامج-الحلول,Published delivery stages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
integration-01-ar,ar,Morocco and MENA,integration-scope,ما الذي يحدد إمكانية تكامل أنظمة الأعمال؟,https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,Integration constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
risk-01-ar,ar,Morocco and MENA,ai-risk,كيف ينبغي تصميم الخصوصية والأمان والإشراف البشري لوكيل ذكاء اصطناعي؟,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب,Data minimization constrained tools and escalation,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
cost-01-ar,ar,Morocco and MENA,cost-timeline,ما الذي يحدد تكلفة ومدة البرمجيات المخصصة؟,https://hivevaultarc.com/ar/تواصل-معنا,Estimate depends on discovery and constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
compare-01-ar,ar,Morocco and MENA,build-vs-buy,هل نشتري برنامجًا جاهزًا أم نبني نظامًا مخصصًا؟,https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,Build-versus-buy boundary,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
proof-01-ar,ar,Morocco and MENA,delivery-proof,ما الأعمال الموثقة التي نفذتها Hive Vault Arc؟,https://hivevaultarc.com/ar/دراسات-الحالة,Only approved traceable case evidence,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
local-01-ar,ar,Morocco and MENA,location-language,أين يقع مقر Hive Vault Arc وما اللغات التي تدعمها؟,https://hivevaultarc.com/ar/من-نحن,Tangier and published supported languages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
