cluster_id,locale,query_or_theme,intent_type,buyer_stage,market,current_url,recommended_action,primary_page,supporting_pages,proof_required,conversion_action,gsc_baseline,owner,status
custom-software-morocco,ar,برمجيات مخصصة في المغرب,commercial service,decision,Morocco,https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,own custom-build purchase intent,https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,https://hivevaultarc.com/ar/القدرات|https://hivevaultarc.com/ar/دراسات-الحالة,approved delivery examples and build-vs-buy boundaries,تواصل-معنا,blocked_company_gsc_access,Software Engineering,mapped
digital-services-tangier,en,digital services Tangier,local commercial,discovery,Tangier,https://hivevaultarc.com/digital-services-tangier,use as local service selector not a duplicate capability page,https://hivevaultarc.com/digital-services-tangier,https://hivevaultarc.com/it-consulting-tangier|https://hivevaultarc.com/custom-software-morocco,distinct service paths and local operating evidence,contact,blocked_company_gsc_access,Growth,mapped
digital-services-tangier,fr,services digitaux Tanger,local commercial,discovery,Tangier,https://hivevaultarc.com/fr/services-digitaux-tanger,use as local service selector not a duplicate capability page,https://hivevaultarc.com/fr/services-digitaux-tanger,https://hivevaultarc.com/fr/conseil-informatique-tanger|https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,distinct service paths and local operating evidence,contact,blocked_company_gsc_access,Growth,mapped
digital-services-tangier,es,servicios digitales en Tánger,local commercial,discovery,Tangier,https://hivevaultarc.com/es/servicios-digitales-tanger,use as local service selector not a duplicate capability page,https://hivevaultarc.com/es/servicios-digitales-tanger,https://hivevaultarc.com/es/consultoria-informatica-tanger|https://hivevaultarc.com/es/software-a-medida-marruecos,distinct service paths and local operating evidence,contacto,blocked_company_gsc_access,Growth,mapped
digital-services-tangier,ar,خدمات رقمية في طنجة,local commercial,discovery,Tangier,https://hivevaultarc.com/ar/خدمات-رقمية-طنجة,use as local service selector not a duplicate capability page,https://hivevaultarc.com/ar/خدمات-رقمية-طنجة,https://hivevaultarc.com/ar/استشارات-تقنية-طنجة|https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,distinct service paths and local operating evidence,تواصل-معنا,blocked_company_gsc_access,Growth,mapped
case-study-proof,en,digital transformation case studies,proof / case study,validation,Global,https://hivevaultarc.com/case-studies,make approved evidence and limitations easy to inspect,https://hivevaultarc.com/case-studies,https://hivevaultarc.com/whoarewe/portfolio|https://hivevaultarc.com/insights,client publication permission and traceable outcomes,case_study_open,blocked_company_gsc_access,Delivery Assurance,mapped
case-study-proof,fr,études de cas transformation numérique,proof / case study,validation,Morocco and France,https://hivevaultarc.com/fr/etudes-de-cas,make approved evidence and limitations easy to inspect,https://hivevaultarc.com/fr/etudes-de-cas,https://hivevaultarc.com/fr/qui-sommes-nous/portfolio|https://hivevaultarc.com/fr/publications,client publication permission and traceable outcomes,case_study_open,blocked_company_gsc_access,Delivery Assurance,mapped
case-study-proof,es,casos de transformación digital,proof / case study,validation,Spain and Global,https://hivevaultarc.com/es/casos-de-estudio,make approved evidence and limitations easy to inspect,https://hivevaultarc.com/es/casos-de-estudio,https://hivevaultarc.com/es/quienes-somos/portfolio|https://hivevaultarc.com/es/publicaciones,client publication permission and traceable outcomes,case_study_open,blocked_company_gsc_access,Delivery Assurance,mapped
case-study-proof,ar,دراسات حالة التحول الرقمي,proof / case study,validation,Morocco and MENA,https://hivevaultarc.com/ar/دراسات-الحالة,make approved evidence and limitations easy to inspect,https://hivevaultarc.com/ar/دراسات-الحالة,https://hivevaultarc.com/ar/من-نحن/أعمالنا|https://hivevaultarc.com/ar/الرؤى,client publication permission and traceable outcomes,case_study_open,blocked_company_gsc_access,Delivery Assurance,mapped
analytics-privacy,en,Google Analytics and cookie consent,support or legal,validation,Global,https://hivevaultarc.com/privacy-policy,keep policy aligned with strict consent behavior,https://hivevaultarc.com/privacy-policy,https://hivevaultarc.com/cookie-policy,legal approval and production consent verification,cookie_settings,blocked_company_gsc_access,Privacy,mapped
analytics-privacy,fr,Google Analytics et consentement aux cookies,support or legal,validation,Morocco and France,https://hivevaultarc.com/fr/politique-de-confidentialite,keep policy aligned with strict consent behavior,https://hivevaultarc.com/fr/politique-de-confidentialite,https://hivevaultarc.com/fr/politique-de-cookies,legal approval and production consent verification,cookie_settings,blocked_company_gsc_access,Privacy,mapped
analytics-privacy,es,Google Analytics y consentimiento de cookies,support or legal,validation,Spain and Global,https://hivevaultarc.com/es/politica-de-privacidad,keep policy aligned with strict consent behavior,https://hivevaultarc.com/es/politica-de-privacidad,https://hivevaultarc.com/es/politica-de-cookies,legal approval and production consent verification,cookie_settings,blocked_company_gsc_access,Privacy,mapped
analytics-privacy,ar,تحليلات Google والموافقة على ملفات الارتباط,support or legal,validation,Morocco and MENA,https://hivevaultarc.com/ar/سياسة-الخصوصية,keep policy aligned with strict consent behavior,https://hivevaultarc.com/ar/سياسة-الخصوصية,https://hivevaultarc.com/ar/سياسة-ملفات-الارتباط,legal approval and production consent verification,cookie_settings,blocked_company_gsc_access,Privacy,mapped
contact-consultation,en,digital transformation consultation,commercial service,decision,Global,https://hivevaultarc.com/contact,keep conversion focused and avoid duplicating service explanations,https://hivevaultarc.com/contact,https://hivevaultarc.com/capabilities|https://hivevaultarc.com/case-studies,contact handling process and response expectations,generate_lead,blocked_company_gsc_access,Sales,mapped
contact-consultation,fr,consultation en transformation numérique,commercial service,decision,Morocco and France,https://hivevaultarc.com/fr/contact,keep conversion focused and avoid duplicating service explanations,https://hivevaultarc.com/fr/contact,https://hivevaultarc.com/fr/expertises|https://hivevaultarc.com/fr/etudes-de-cas,contact handling process and response expectations,generate_lead,blocked_company_gsc_access,Sales,mapped
contact-consultation,es,consulta de transformación digital,commercial service,decision,Spain and Global,https://hivevaultarc.com/es/contacto,keep conversion focused and avoid duplicating service explanations,https://hivevaultarc.com/es/contacto,https://hivevaultarc.com/es/capacidades|https://hivevaultarc.com/es/casos-de-estudio,contact handling process and response expectations,generate_lead,blocked_company_gsc_access,Sales,mapped
contact-consultation,ar,استشارة التحول الرقمي,commercial service,decision,Morocco and MENA,https://hivevaultarc.com/ar/تواصل-معنا,keep conversion focused and avoid duplicating service explanations,https://hivevaultarc.com/ar/تواصل-معنا,https://hivevaultarc.com/ar/القدرات|https://hivevaultarc.com/ar/دراسات-الحالة,contact handling process and response expectations,generate_lead,blocked_company_gsc_access,Sales,mapped
