answer_id,locale,market,question,question_family,buyer_stage,primary_url,supporting_url,current_answer,answer_gap,evidence_required,evidence_url,subject_matter_owner,locale_reviewer,conversion_action,priority_score,status,last_reviewed
agent-outcome,es,Morocco,¿Qué problema empresarial debería resolver primero un agente de IA?,Outcome,evaluation,https://hivevaultarc.com/es/agentes-ia-marruecos,https://hivevaultarc.com/es/blog,Empiece con un flujo de trabajo concreto y repetitivo que tenga entradas excepciones responsables y un resultado medible bien definidos.,Needs native review approved example and rubric,Operating method and approved example,,AI Delivery,pending_native_reviewer,contacto,17,mapped,2026-09-13
agent-outcome,ar,Morocco,ما أول مشكلة أعمال ينبغي أن يعالجها وكيل ذكاء اصطناعي؟,Outcome,evaluation,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب,https://hivevaultarc.com/ar/المدونة,ابدأ بسير عمل محدد ومتكرر له مدخلات واستثناءات ومسؤول واضح ونتيجة قابلة للقياس.,Needs native review approved example and rubric,Operating method and approved example,,AI Delivery,pending_native_reviewer,تواصل-معنا,17,mapped,2026-09-13
delivery-process,en,Global,How does a digital transformation engagement work?,Process,evaluation,https://hivevaultarc.com/capabilities/solution-programs,https://hivevaultarc.com/arc,The published model moves from discovery and scope through implementation testing launch and an operating review loop.,Needs phase artifacts decision gates and accountable reviewers,Approved delivery playbook,,Delivery,pending_native_reviewer,contact,16,mapped,2026-09-13
delivery-process,fr,Morocco and France,Comment se déroule une mission de transformation numérique ?,Process,evaluation,https://hivevaultarc.com/fr/expertises/programmes-solutions,https://hivevaultarc.com/fr/arc,Le modèle publié va de la découverte et du cadrage à la mise en œuvre aux tests au lancement puis à une boucle de revue opérationnelle.,Needs native review phase artifacts and decision gates,Approved delivery playbook,,Delivery,pending_native_reviewer,contact,16,mapped,2026-09-13
delivery-process,es,Spain and Global,¿Cómo se desarrolla un proyecto de transformación digital?,Process,evaluation,https://hivevaultarc.com/es/capacidades/programas-de-soluciones,https://hivevaultarc.com/es/arc,El modelo publicado abarca descubrimiento alcance implementación pruebas lanzamiento y revisión operativa.,Needs native review phase artifacts and decision gates,Approved delivery playbook,,Delivery,pending_native_reviewer,contacto,16,mapped,2026-09-13
delivery-process,ar,Morocco and MENA,كيف تسير مهمة التحول الرقمي؟,Process,evaluation,https://hivevaultarc.com/ar/القدرات/برامج-الحلول,https://hivevaultarc.com/ar/arc,يمتد النموذج المنشور من الاكتشاف وتحديد النطاق إلى التنفيذ والاختبار والإطلاق ثم المراجعة التشغيلية.,Needs native review phase artifacts and decision gates,Approved delivery playbook,,Delivery,pending_native_reviewer,تواصل-معنا,16,mapped,2026-09-13
integration-scope,en,Global,Which systems can a custom workflow integrate with?,Integration,evaluation,https://hivevaultarc.com/custom-software-morocco,https://hivevaultarc.com/capabilities,Integration depends on documented APIs data access security constraints and the reliability of each system.,Needs verified supported integration examples and non-scope,Technical integration register,,Engineering,pending_native_reviewer,contact,15,mapped,2026-09-13
integration-scope,fr,Morocco and France,Quels systèmes peuvent être intégrés à un flux sur mesure ?,Integration,evaluation,https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,https://hivevaultarc.com/fr/expertises,L’intégration dépend des API documentées de l’accès aux données des contraintes de sécurité et de la fiabilité de chaque système.,Needs native review verified examples and non-scope,Technical integration register,,Engineering,pending_native_reviewer,contact,15,mapped,2026-09-13
integration-scope,es,Spain and Global,¿Qué sistemas puede integrar un flujo de trabajo a medida?,Integration,evaluation,https://hivevaultarc.com/es/software-a-medida-marruecos,https://hivevaultarc.com/es/capacidades,La integración depende de las API documentadas el acceso a los datos las restricciones de seguridad y la fiabilidad de cada sistema.,Needs native review verified examples and non-scope,Technical integration register,,Engineering,pending_native_reviewer,contacto,15,mapped,2026-09-13
integration-scope,ar,Morocco and MENA,ما الأنظمة التي يمكن ربطها بسير عمل مخصص؟,Integration,evaluation,https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,https://hivevaultarc.com/ar/القدرات,يعتمد التكامل على واجهات موثقة والوصول إلى البيانات وقيود الأمان وموثوقية كل نظام.,Needs native review verified examples and non-scope,Technical integration register,,Engineering,pending_native_reviewer,تواصل-معنا,15,mapped,2026-09-13
ai-risk,en,Global,How are privacy security and human oversight handled for AI agents?,Risk,validation,https://hivevaultarc.com/ai-agents-morocco,https://hivevaultarc.com/privacy-policy,The design should minimize data access constrain tools log accountable actions and route uncertain or sensitive cases to people.,Needs approved security architecture and legal qualifications,Security review and privacy policy,https://hivevaultarc.com/privacy-policy,Security and Privacy,pending_native_reviewer,contact,18,mapped,2026-09-13
ai-risk,fr,Morocco and France,Comment gérer la confidentialité la sécurité et la supervision humaine des agents IA ?,Risk,validation,https://hivevaultarc.com/fr/agents-ia-maroc,https://hivevaultarc.com/fr/politique-de-confidentialite,La conception doit minimiser l’accès aux données limiter les outils journaliser les actions responsables et transmettre les cas sensibles ou incertains à des personnes.,Needs native legal and security review,Security review and privacy policy,https://hivevaultarc.com/fr/politique-de-confidentialite,Security and Privacy,pending_native_reviewer,contact,18,mapped,2026-09-13
ai-risk,es,Spain and Global,¿Cómo se gestionan la privacidad la seguridad y la supervisión humana de los agentes de IA?,Risk,validation,https://hivevaultarc.com/es/agentes-ia-marruecos,https://hivevaultarc.com/es/politica-de-privacidad,El diseño debe minimizar el acceso a datos limitar las herramientas registrar acciones responsables y derivar a personas los casos sensibles o inciertos.,Needs native legal and security review,Security review and privacy policy,https://hivevaultarc.com/es/politica-de-privacidad,Security and Privacy,pending_native_reviewer,contacto,18,mapped,2026-09-13
ai-risk,ar,Morocco and MENA,كيف تتم إدارة الخصوصية والأمان والإشراف البشري لوكلاء الذكاء الاصطناعي؟,Risk,validation,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب,https://hivevaultarc.com/ar/سياسة-الخصوصية,ينبغي تقليل الوصول إلى البيانات وتقييد الأدوات وتسجيل الإجراءات المسؤولة وتحويل الحالات الحساسة أو غير المؤكدة إلى أشخاص.,Needs native legal and security review,Security review and privacy policy,https://hivevaultarc.com/ar/سياسة-الخصوصية,Security and Privacy,pending_native_reviewer,تواصل-معنا,18,mapped,2026-09-13
cost-timeline,en,Global,What determines the cost and timeline of a custom engagement?,Scope and pricing,decision,https://hivevaultarc.com/contact,https://hivevaultarc.com/capabilities/solution-programs,Effort depends on scope integrations data readiness risk testing and the operating support required; discovery is needed before a responsible estimate.,Needs company-approved estimation boundaries and no unsupported price promise,Approved estimation policy,,Sales and Delivery,pending_native_reviewer,generate_lead,17,mapped,2026-09-13
cost-timeline,fr,Morocco and France,Qu’est-ce qui détermine le coût et le délai d’une mission sur mesure ?,Scope and pricing,decision,https://hivevaultarc.com/fr/contact,https://hivevaultarc.com/fr/expertises/programmes-solutions,L’effort dépend du périmètre des intégrations de la préparation des données des risques des tests et du support opérationnel ; une découverte est nécessaire avant toute estimation responsable.,Needs native and company-approved estimation boundaries,Approved estimation policy,,Sales and Delivery,pending_native_reviewer,generate_lead,17,mapped,2026-09-13
cost-timeline,es,Spain and Global,¿Qué determina el coste y el plazo de un proyecto a medida?,Scope and pricing,decision,https://hivevaultarc.com/es/contacto,https://hivevaultarc.com/es/capacidades/programas-de-soluciones,El esfuerzo depende del alcance las integraciones la preparación de datos el riesgo las pruebas y el soporte operativo; es necesario descubrir el contexto antes de estimar.,Needs native and company-approved estimation boundaries,Approved estimation policy,,Sales and Delivery,pending_native_reviewer,generate_lead,17,mapped,2026-09-13
cost-timeline,ar,Morocco and MENA,ما الذي يحدد تكلفة ومدة المشروع المخصص؟,Scope and pricing,decision,https://hivevaultarc.com/ar/تواصل-معنا,https://hivevaultarc.com/ar/القدرات/برامج-الحلول,يعتمد الجهد على النطاق والتكاملات وجاهزية البيانات والمخاطر والاختبار والدعم التشغيلي وتلزم مرحلة اكتشاف قبل تقديم تقدير مسؤول.,Needs native and company-approved estimation boundaries,Approved estimation policy,,Sales and Delivery,pending_native_reviewer,generate_lead,17,mapped,2026-09-13
build-vs-buy,en,Global,Should we buy software or build a custom system?,Comparison,decision,https://hivevaultarc.com/custom-software-morocco,https://hivevaultarc.com/capabilities/in-detail,Buy when a standard product fits the workflow and constraints; consider custom work when a material operating need cannot be met cleanly and can justify ownership cost.,Needs decision matrix and reviewed examples,Approved build-vs-buy framework,,Strategy and Engineering,pending_native_reviewer,contact,17,mapped,2026-09-13
build-vs-buy,fr,Morocco and France,Faut-il acheter un logiciel ou construire un système sur mesure ?,Comparison,decision,https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,https://hivevaultarc.com/fr/expertises/en-detail,Achetez lorsqu’un produit standard convient au flux et aux contraintes ; envisagez le sur-mesure lorsqu’un besoin opérationnel important reste sans réponse et justifie le coût de possession.,Needs native review decision matrix and examples,Approved build-vs-buy framework,,Strategy and Engineering,pending_native_reviewer,contact,17,mapped,2026-09-13
build-vs-buy,es,Spain and Global,¿Conviene comprar software o crear un sistema a medida?,Comparison,decision,https://hivevaultarc.com/es/software-a-medida-marruecos,https://hivevaultarc.com/es/capacidades/en-detalle,Compre cuando un producto estándar encaje con el flujo y las restricciones; valore un desarrollo a medida cuando una necesidad operativa importante no pueda resolverse bien y justifique su coste total.,Needs native review decision matrix and examples,Approved build-vs-buy framework,,Strategy and Engineering,pending_native_reviewer,contacto,17,mapped,2026-09-13
build-vs-buy,ar,Morocco and MENA,هل نشتري برنامجًا جاهزًا أم نبني نظامًا مخصصًا؟,Comparison,decision,https://hivevaultarc.com/ar/برمجيات-مخصصة-المغرب,https://hivevaultarc.com/ar/القدرات/بالتفصيل,اختر منتجًا جاهزًا عندما يلائم سير العمل والقيود وفكر في بناء مخصص عندما تبقى حاجة تشغيلية مهمة بلا حل مناسب وتبرر تكلفة الملكية.,Needs native review decision matrix and examples,Approved build-vs-buy framework,,Strategy and Engineering,pending_native_reviewer,تواصل-معنا,17,mapped,2026-09-13
delivery-proof,en,Global,What proof exists for Hive Vault Arc delivery?,Proof,validation,https://hivevaultarc.com/case-studies,https://hivevaultarc.com/whoarewe/portfolio,Only case material with documented publication permission and traceable evidence should support delivery claims.,Needs case-by-case source permission outcome and limitation review,Client-approved evidence records,https://hivevaultarc.com/case-studies,Delivery Assurance,pending_native_reviewer,case_study_open,18,mapped,2026-09-13
delivery-proof,fr,Morocco and France,Quelles preuves existent sur les réalisations de Hive Vault Arc ?,Proof,validation,https://hivevaultarc.com/fr/etudes-de-cas,https://hivevaultarc.com/fr/qui-sommes-nous/portfolio,Seuls les cas disposant d’une autorisation de publication documentée et de preuves traçables doivent étayer les affirmations de réalisation.,Needs native and case-by-case permission review,Client-approved evidence records,https://hivevaultarc.com/fr/etudes-de-cas,Delivery Assurance,pending_native_reviewer,case_study_open,18,mapped,2026-09-13
delivery-proof,es,Spain and Global,¿Qué pruebas existen sobre el trabajo de Hive Vault Arc?,Proof,validation,https://hivevaultarc.com/es/casos-de-estudio,https://hivevaultarc.com/es/quienes-somos/portfolio,Solo los casos con permiso de publicación documentado y evidencia trazable deben respaldar afirmaciones sobre entregas.,Needs native and case-by-case permission review,Client-approved evidence records,https://hivevaultarc.com/es/casos-de-estudio,Delivery Assurance,pending_native_reviewer,case_study_open,18,mapped,2026-09-13
delivery-proof,ar,Morocco and MENA,ما الأدلة المتاحة على أعمال Hive Vault Arc؟,Proof,validation,https://hivevaultarc.com/ar/دراسات-الحالة,https://hivevaultarc.com/ar/من-نحن/أعمالنا,ينبغي ألا تدعم ادعاءات التنفيذ إلا حالات لديها إذن نشر موثق وأدلة قابلة للتتبع.,Needs native and case-by-case permission review,Client-approved evidence records,https://hivevaultarc.com/ar/دراسات-الحالة,Delivery Assurance,pending_native_reviewer,case_study_open,18,mapped,2026-09-13
location-language,en,Morocco,Where does Hive Vault Arc work and which languages are supported?,Local and language,evaluation,https://hivevaultarc.com/aboutus,https://hivevaultarc.com/contact,The published company facts place the headquarters in Tangier Morocco and list English French Arabic and Spanish as supported languages across the stated markets.,Needs company verification and distinction between service and interface language,Company fact registry,https://hivevaultarc.com/ai/company,Operations,pending_native_reviewer,contact,17,mapped,2026-09-13
location-language,fr,Morocco and France,Où travaille Hive Vault Arc et quelles langues sont prises en charge ?,Local and language,evaluation,https://hivevaultarc.com/fr/qui-sommes-nous,https://hivevaultarc.com/fr/contact,Les informations publiées situent le siège à Tanger au Maroc et indiquent l’anglais le français l’arabe et l’espagnol parmi les langues prises en charge sur les marchés déclarés.,Needs native and company verification,Company fact registry,https://hivevaultarc.com/ai/company,Operations,pending_native_reviewer,contact,17,mapped,2026-09-13
location-language,es,Spain and Global,¿Dónde trabaja Hive Vault Arc y qué idiomas admite?,Local and language,evaluation,https://hivevaultarc.com/es/quienes-somos,https://hivevaultarc.com/es/contacto,Los datos publicados sitúan la sede en Tánger Marruecos y enumeran inglés francés árabe y español como idiomas admitidos en los mercados declarados.,Needs native and company verification,Company fact registry,https://hivevaultarc.com/ai/company,Operations,pending_native_reviewer,contacto,17,mapped,2026-09-13
location-language,ar,Morocco and MENA,أين تعمل Hive Vault Arc وما اللغات التي تدعمها؟,Local and language,evaluation,https://hivevaultarc.com/ar/من-نحن,https://hivevaultarc.com/ar/تواصل-معنا,تضع المعلومات المنشورة المقر في طنجة بالمغرب وتذكر الإنجليزية والفرنسية والعربية والإسبانية ضمن اللغات المدعومة في الأسواق المعلنة.,Needs native and company verification,Company fact registry,https://hivevaultarc.com/ai/company,Operations,pending_native_reviewer,تواصل-معنا,17,mapped,2026-09-13
